;;Logradouro;;;;;;;
Localidade;Logradouro;CEP;Bairro;Tipo Codificação;Numero Inicial;Número Final;Trecho;Lado;Legendas
Guarabira;Área Rural;58204-899;Área Rural de Guarabira;;;;;;I = Trecho Inicial
Guarabira;Avenida Antônio Paulino Filho;58201-425;Areia Branca;Simples;;;;;M = Techo do Meio
Guarabira;Avenida Argentina;58204-630;Nações;Seccionamento;1;570;I;A;F = Trecho Final
Guarabira;Avenida Argentina;58204-672;Monte das Oliveiras;Seccionamento;571;9999;F;A;A = Ambos
Guarabira;Avenida Ariosto Uchoa Trocoli;58200-068;Centro;Simples;;;;;P = Par
Guarabira;Avenida Bolívia;58204-627;Nações;Simples;;;;;I = Impar (qunado na coluna J)
Guarabira;Avenida Brasil;58204-636;Nações;Simples;;;;;
Guarabira;Avenida Cacildes Toscano;58203-491;Nordeste I;Seccionamento;1;9999;T;I;
Guarabira;Avenida Deputado Osmar de Aquino;58200-102;Centro;Simples;;;;;
Guarabira;Avenida Dom Pedro II;58200-036;Centro;Simples;;;;;
Guarabira;Avenida Edward Rocha;58200-472;Novo;Simples;;;;;
Guarabira;Avenida Feliciano Batista de Amorim;58200-264;Juá;Seccionamento;4;1202;I;P;
Guarabira;Avenida Feliciano Batista de Amorim;58200-416;Novo;Seccionamento;3;1201;I;I;
Guarabira;Avenida Feliciano Batista de Amorim;58200-642;Sol Nascente;Seccionamento;1203;9999;F;I;
Guarabira;Avenida Feliciano Batista de Amorim;58204-710;Cidade Jardim;Seccionamento;1204;9998;F;P;
Guarabira;Avenida João Gomes Maranhão;58200-108;Centro;Simples;;;;;
Guarabira;Avenida José Agostinho de Meireles;58203-054;Clóvis Bezerra;Seccionamento;2;9998;T;P;
Guarabira;Avenida José Agostinho de Meireles;58203-072;Lucas Porpino;Seccionamento;2;9998;T;P;
Guarabira;Avenida José Agostinho de Meireles;58203-180;Assis Chateaubriand;Seccionamento;1;9999;T;I;
Guarabira;Avenida José Agostinho de Meireles;58203-481;Hidelbrando Matias;Seccionamento;1;9999;T;I;
Guarabira;Avenida José Agostinho de Meireles;58203-650;Residencial Jáder Pimentel;Seccionamento;1;9999;T;A;
Guarabira;Avenida Nossa Senhora da Luz;58203-036;Clóvis Bezerra;Seccionamento;1;509;I;A;
Guarabira;Avenida Nossa Senhora da Luz;58203-062;Lucas Porpino;Seccionamento;510;9999;F;A;
Guarabira;Avenida Otacílio Lira Cabral;58201-372;Rosário;Seccionamento;1;399;I;I;
Guarabira;Avenida Otacílio Lira Cabral;58201-410;Areia Branca;Seccionamento;2;300;I;P;
Guarabira;Avenida Otacílio Lira Cabral;58201-565;Osmar de Aquino;Seccionamento;300;2000;M;P;
Guarabira;Avenida Otacílio Lira Cabral;58201-840;Distrito Mecânico;Seccionamento;2000;3000;F;P;
Guarabira;Avenida Otacílio Lira Cabral;58201-850;Distrito Industrial;Seccionamento;2001;2099;F;I;
Guarabira;Avenida Otacílio Lira Cabral;58203-021;Clóvis Bezerra;Seccionamento;1259;2001;M;I;
Guarabira;Avenida Otacílio Lira Cabral;58203-190;Assis Chateaubriand;Seccionamento;701;1259;M;I;
Guarabira;Avenida Otacílio Lira Cabral;58203-210;São José;Seccionamento;301;699;M;I;
Guarabira;Avenida Padre Inácio de Almeida;58200-134;Centro;Simples;;;;;
Guarabira;Avenida Prefeito João Pimentel Filho;58200-115;Centro;Seccionamento;1;299;I;A;
Guarabira;Avenida Prefeito João Pimentel Filho;58200-245;Juá;Seccionamento;300;9999;F;A;
Guarabira;Avenida Presidente Juscelino Kubitschek de Oliveira;58200-070;Centro;Seccionamento;1;500;I;A;
Guarabira;Avenida Presidente Juscelino Kubitschek de Oliveira;58200-232;Juá;Seccionamento;501;9999;F;A;
Guarabira;Avenida Rui Barbosa;58200-130;Centro;Seccionamento;1;505;I;A;
Guarabira;Avenida Rui Barbosa;58201-120;Primavera;Seccionamento;507;9999;F;I;
Guarabira;Avenida Sabiniano Maia;58200-136;Centro;Seccionamento;1;800;T;A;
Guarabira;Avenida Sabiniano Maia;58200-392;Novo;Seccionamento;801;9999;T;A;
Guarabira;Praça Antonia de Souza Leal;58201-371;Rosário;Simples;;;;;
Guarabira;Praça Antônio Galdino Guedes;58200-030;Centro;Simples;;;;;
Guarabira;Praça Cristo Redentor;58200-422;Novo;Simples;;;;;
Guarabira;Praça da Juventude;58200-172;Santa Terezinha;Simples;;;;;
Guarabira;Praça Ferreira de Melo;58200-100;Centro;Simples;;;;;
Guarabira;Praça João Clementino dos Santos;58200-064;Centro;Simples;;;;;
Guarabira;Praça João Fidelis da Cruz;58201-381;Rosário;Simples;;;;;
Guarabira;Praça João Pessoa;58200-038;Centro;Simples;;;;;
Guarabira;Praça João Zezuino Gonçalo;58200-762;Alto da Boa Vista;Simples;;;;;
Guarabira;Praça Lima e Moura;58200-024;Centro;Simples;;;;;
Guarabira;Praça Maria do Carmo Torres Toscano;58203-320;Esplanada da Estação;Simples;;;;;
Guarabira;Praça Miguel Couto;58203-148;Assis Chateaubriand;Simples;;;;;
